cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
0,0,0,10.944175106428128,49.5498517398657,10.953158259269324,49.55567953770728,49.55276563878649,10.948666682848726,NW,Linear Regression,spatial_group_kfold,4,0.41,-0.1,-0.30999999999999994,0.0455624621370852,0.08477079750290048,-0.13033325963998568,0.21888021635222807,0.06790462080094992,0.3644375378629148,0.18477079750290049,0,0,low
1,0,1,10.953158259269324,49.5498517398657,10.96214141211052,49.55567953770728,49.55276563878649,10.957649835689923,NW,Linear Regression,spatial_group_kfold,4,0.48,0.45,-0.9299999999999999,-0.027491861392860195,-0.02721498632554594,0.054706847718406136,0.16168208527446948,0.04312791611679114,0.5074918613928602,0.47721498632554593,0,0,medium
2,0,2,10.96214141211052,49.5498517398657,10.971124564951715,49.55567953770728,49.55276563878649,10.966632988531117,NW,Linear Regression,spatial_group_kfold,4,0.54,-0.78,0.24,-0.21105244531478146,-0.24890106974671536,0.45995351506149684,0.3651895258857941,0.11975643884784887,0.7510524453147815,0.5310989302532847,0,0,low
3,0,3,10.971124564951715,49.5498517398657,10.98010771779291,49.55567953770728,49.55276563878649,10.975616141372313,NW,Linear Regression,spatial_group_kfold,4,0.0,-1.08,1.08,0.29658810966400695,-0.09207664463568756,-0.2045114650283194,0.20215611066728076,0.04263559514771421,0.29658810966400695,0.9879233553643125,0,0,low
4,0,4,10.98010771779291,49.5498517398657,10.989090870634104,49.55567953770728,49.55276563878649,10.984599294213506,NW,Linear Regression,spatial_group_kfold,4,-0.14,0.35,-0.20999999999999996,0.602833638693138,0.017626894978879756,-0.6204605336720177,0.19070621836893553,0.05755291021784802,0.742833638693138,0.3323731050211202,0,0,low
5,0,5,10.989090870634104,49.5498517398657,10.9980740234753,49.55567953770728,49.55276563878649,10.993582447054703,NW,Linear Regression,spatial_group_kfold,4,4.82,0.02,-4.84,1.7667793196612167,0.10507280601941957,-1.8718521256806362,0.19051135466831182,0.08957738210712152,3.0532206803387836,0.08507280601941956,1,1,low
6,0,6,10.9980740234753,49.5498517398657,11.007057176316495,49.55567953770728,49.55276563878649,11.002565599895899,NW,Linear Regression,spatial_group_kfold,4,0.6,0.18,-0.78,0.33907300360032955,0.16534046626735266,-0.5044134698676822,0.1709662691329249,0.08787183961568044,0.26092699639967043,0.014659533732647334,0,0,medium
7,0,7,11.007057176316495,49.5498517398657,11.01604032915769,49.55567953770728,49.55276563878649,11.011548752737092,NW,Linear Regression,spatial_group_kfold,4,0.04,0.0,-0.04,-0.35855590729584647,0.13427306797573543,0.22428283932011103,0.24287274663504516,0.09367309069329127,0.39855590729584645,0.13427306797573543,0,0,low
8,0,8,11.01604032915769,49.5498517398657,11.025023481998886,49.55567953770728,49.55276563878649,11.020531905578288,NW,Linear Regression,spatial_group_kfold,4,7.48,0.0,-7.48,2.359733864467904,-0.03469952158335549,-2.3250343428845484,0.25213769157260285,0.06153234582284427,5.120266135532097,0.03469952158335549,1,1,low
9,0,9,11.025023481998886,49.5498517398657,11.034006634840082,49.55567953770728,49.55276563878649,11.029515058419484,NW,Linear Regression,spatial_group_kfold,4,3.44,0.0,-3.44,1.513196194206281,-0.016755282982424617,-1.4964409112238564,0.2348873008974642,0.05872134739872232,1.926803805793719,0.016755282982424617,1,1,low
